Category,Subcategory
Vehicle,"car,bus,airplane,train,truck,bicycle,motorcycle,boat,scooter,wagon,bike,ship,tricycle,tractor,taxi,cart,jeep,jet,streetcar,trailer,skates,cab,helicopter,subway,motorbike,tank,carriage,Honda,horse,feet,sled,cycle,rocket,van"
Toy,"doll,ball,car,gun,truck,train,game,block,bat,top,boat,dollhouse,wagon,bike,jacks,puzzle,rattle,bicycle,tricycle,balloon,YoYo,marbles,rope,horse,skates,animals,books,dishes,drum,fire,engine,football,cards,crayons,Monopoly,tractor,baseball,glove,swing"
Vegetable,"carrot,pea,corn,bean,potato,tomato,lettuce,spinach,asparagus,broccoli,celery,cabbage,string beans,cauliflower,beets,squash,onions,radishes,cucumber,turnip,kale,parsley,peppers"
Insect,"fly,ant,bee,mosquito,spider,beetle,roach,wasp,grasshopper,ladybug,gnat,moth,flea,butterfly,bug,cockroach,termite,hornet,cricket,caterpillar,tick,centipede,dragonfly,silverfish,worm,locust,horsefly"
Flower,"rose,tulip,carnation,daisy,violet,orchid,chrysanthemum,lily,pansy,petunia,gardenia,daffodil,dandelion,iris,lilac,geranium,peony,sunflower,azalea,gladiola,,snapdragon,poppy,zinnia,jonquil,buttercup,marigold,magnolia,aster,hyacinth,camellia"
Disease,"cancer,tuberculosis,measles,polio,mumps,cold,smallpox,leukemia,mononucleosis,malaria,syphilis,pneumonia,flu,leprosy,typhoid,diphtheria,diabetes,gonorrhea,arthritis,cholera,hepatitis,alcoholism,beriberi,rickets,virus"
Tree,"oak,maple,pine,elm,apple,birch,cherry,dogwood,spruce,redwood,peach,walnut,fir,hickory,pear,sycamore,ash,poplar,willow,chestnut,cedar,evergreen,palm,beech,orange,magnolia,tulip,locust,plum,cottonwood,gingo,sequoia,Christmas,holly,mimosa,cypress,lemon,mulberry"
Fish,"trout,bass,shark,herring,catfish,perch,salmon,tuna,goldfish,swordfish,sunfish,whale,rock,cod,bluegil,carp,pike,minnow,guppy,flounder,marlin,shrimp,barracuda,bluefish,mackerel,sailfish,porpoise,shad,spot,lobster,haddock,muskie,crappie,angel,crab,halibut,white,sardine,blowfish,eel,oyster,walleye,clam,whiting,dolphin,piranha"
Snake,"rattle,black,cobra,copperhead,garter,garden,python,coral,boa,cottonmouth,green,king,grass,diamondback,water,bull,moccasin,milk,asp,black jacket,anaconda,viper"
City,"Chicago,Washington,Baltimore,London,Paris,Miami,Boston,Philadelphia,Detroit,Dallas,Champaign,Rome,Urbana,Cleveland,Pittsburg,Denver,Houston,Tokyo,Springfield,Moscow,Atlanta,Berlin,Tampa,Annapolis,Peoria,Bethesda,Seattle,Reno,Columbus,Minneapolis,Decatur,Madrid,Milwaukee,Richmond,Rockville,Memphis"
State,"California,Maryland,Florida,Illinois,Texas,Virginia,Pennsylvania,Maine,Ohio,Indiana,Wisconsin,Alabama,Washington,Iowa,Georgia,Oregon,Massachusetts,Delaware,Michigan,Vermont,Mississippi,Alaska,Colorado,Hawaii,Louisiana,Kentucky,Missouri,Utah,Arizona,Tennessee,Nevada,Montana,Connecticut,Arkansas,Minnesota,Wyoming,Idaho,Kansas,Nebraska,Oklahoma"

